Brand,Series,Model,Price
Tofaş,Murat,124,90000
Tofaş,Murat,124,390000
Ford,Taunus,1.6 GXL,400000
Tofaş,Murat,124,350000
Tofaş,Murat,124,115000
Renault,R 12,SW,175000
Volkswagen,The Beetle,1.3,260000
Volkswagen,The Beetle,1.3,410000
Volkswagen,The Beetle,1.3,290000
Volkswagen,The Beetle,1.3,375000
Volkswagen,The Beetle,1.3,360000
Volkswagen,The Beetle,1.3,300000
Renault,R 12,TS,95000
Renault,R 12,SW,135000
Mercedes - Benz,E,200,320000
Ford,Taunus,1.6 GXL,250000
Renault,R 12,TS,175000
Ford,Granada,1.7,235000
Volkswagen,The Beetle,1.3,550000
Mercedes - Benz,E,200,350000
Ford,Taunus,1.3 L,560000
Tofaş,Murat,124,150000
Tofaş,Murat,124,208000
Tofaş,Murat,124,225000
Renault,R 12,SW,55558
Renault,R 12,TL,270000
Ford,Granada,1.7,199000
Tofaş,Murat,124,199999
Tofaş,Murat,124,170000
Tofaş,Murat,124,190000
Anadol,A2 SL,,210000
Ford,Granada,1.7,175000
Mercedes - Benz,E,200,700000
Mercedes - Benz,E,200,305000
Tofaş,Murat,124,210000
Tofaş,Murat,124,165000
Tofaş,Murat,124,195950
Mercedes - Benz,E,200,800000
Mercedes - Benz,E,200,185000
Tofaş,Murat,124,170000
Renault,R 12,TS,108000
Renault,R 12,TS,620000
Tofaş,Murat,124,240000
Tofaş,Murat,124,189000
Tofaş,Murat,124,270000
Chevrolet,Camaro,Z28,2195000
Renault,R 12,TS,110000
Renault,R 12,SW,135000
Tofaş,Murat,124,180000
Renault,R 12,TS,117600
Renault,R 12,TS,99000
Tofaş,Murat,124,158000
Renault,R 12,TS,90000
Mercedes - Benz,300,TD,235000
Mercedes - Benz,E,200,235000
Anadol,A2 SL,,160000
Renault,R 12,TL,125000
Renault,R 12,SW,140000
Opel,Rekord,2.0,230000
Tofaş,Murat,131,180000
Ford,Taunus,1.6 L,250000
Renault,R 12,TL,125000
Renault,R 12,SW,148000
Ford,Taunus,1.6 GXL,340000
Renault,R 12,TS,275000
Renault,R 12,SW,95000
Renault,R 12,SW,80000
Renault,R 12,SW,180000
Mercedes - Benz,280,SLC,1765000
Mercedes - Benz,300,TD,900000
Mercedes - Benz,E,200,135000
Renault,R 12,TS,120000
Renault,R 12,SW,215000
Mercedes - Benz,E,200,187500
Tofaş,Murat,131,369750
Renault,R 12,TS,110000
Ford,Taunus,1.6,147500
Renault,R 12,TS,175000
Tofaş,Murat,131,425000
Renault,R 12,SW,175750
Ford,Granada,1.7,155000
Tofaş,Murat,131,175000
Renault,R 12,TS,139000
Tofaş,Murat,131,100000
Mercedes - Benz,E,200,279000
Renault,R 12,SW,135000
Mercedes - Benz,300,TD,500240
Mercedes - Benz,E,200,300000
Renault,R 12,SW,94000
Renault,R 12,SW,90000
Tofaş,Murat,131,115301
Ford,Taunus,1.6,225000
Tofaş,Murat,131,107800
Renault,R 12,TS,80000
Renault,R 12,SW,110000
Mercedes - Benz,300,TD,249000
Mercedes - Benz,300,TD,172500
Tofaş,Şahin,1.4,70000
Mercedes - Benz,E,200,229999
Renault,R 12,TL,135000
Renault,R 12,SW,124750
Renault,R 12,TS,140000
Tofaş,Murat,131,180000
Renault,R 12,SW,85000
Renault,R 12,SW,139000
Ford,Taunus,1.6 L,140000
Tofaş,Murat,131,110000
Renault,R 12,TS,90000
Tofaş,Murat,131,73000
Renault,R 12,SW,85000
Renault,R 12,SW,100000
Renault,R 12,TS,141000
Mercedes - Benz,300,TD,250000
Renault,R 12,TS,85000
Renault,R 12,TS,110000
Mercedes - Benz,E,200,325000
Anadol,A2 SL,,165250
Ford,Taunus,1.6 GL,180000
Renault,R 12,TS,193000
Tofaş,Murat,131,490000
Renault,R 12,TS,120000
Tofaş,Şahin,1.4,150000
Renault,R 12,TS,185000
Tofaş,Şahin,1.4,200000
Ford,Taunus,1.6 GL,235000
Renault,R 12,SW,170000
Renault,R 12,TS,190000
Tofaş,Murat,131,167000
Renault,R 12,SW,117500
BMW,3 Serisi,315,205000
Tofaş,Murat,131,170000
Tofaş,Murat,131,270000
Renault,R 12,SW,110000
Volkswagen,The Beetle,1.3,95000
Mercedes - Benz,E,200,330000
Renault,R 12,SW,95000
Volkswagen,Jetta,1.6 GL,120000
Tofaş,Murat,131,105000
Renault,R 12,TL,95000
Anadol,A2 SL,,150000
Renault,R 12,SW,117000
Renault,R 12,SW,140000
Volkswagen,Jetta,1.6 GL,240000
Renault,R 12,TS,95000
Tofaş,Murat,131,120000
Ford,Granada,1.7,65000
Renault,R 12,SW,162000
Tofaş,Şahin,1.4,115000
Mercedes - Benz,E,200,330000
Mercedes - Benz,E,200 d E 200 d,248000
Mercedes - Benz,230,E,245000
Mercedes - Benz,E,200,300000
Volkswagen,Jetta,1.6 GL,150000
Renault,R 12,SW,105000
Mercedes - Benz,230,E,280000
Renault,R 12,TS,155000
Ford,Taunus,1.6 GL,210000
Renault,R 12,TS,265000
Renault,R 12,SW,115000
Volkswagen,Jetta,1.6 GL,185000
Opel,Kadett,1.6,255000
Tofaş,Murat,131,87500
Renault,R 12,TS,106000
Opel,Kadett,1.6 D,200000
Renault,R 12,SW,140000
Renault,R 12,SW,220000
Audi,100 Serisi,2.0 D,210000
Renault,R 12,TS,95000
Renault,R 12,TS,117500
Mercedes - Benz,230,E,365000
Mercedes - Benz,230,E,215000
Volkswagen,Jetta,1.6 GL,150000
Mercedes - Benz,E,200 d E 200 d,260000
Mercedes - Benz,230,E,138500
Mercedes - Benz,E,200,250000
Renault,R 12,SW,159000
Renault,R 12,SW,125500
Tofaş,Murat,131,120000
Mercedes - Benz,230,E,220000
Renault,R 12,TSW,150000
Renault,R 12,TSW,115000
Renault,R 12,GTS,136000
Tofaş,Murat,131,80000
Renault,R 12,SW,145000
Tofaş,Murat,131,100000
Volkswagen,Golf,1.6 TD,160000
Tofaş,Murat,131,110000
Mercedes - Benz,190,2.0,275000
Renault,R 12,TS,132750
Renault,R 12,SW,115500
Renault,R 12,TS,125000
Renault,R 12,TS,125000
Renault,R 12,GTS,350000
Volkswagen,Golf,1.6 TD,140000
Renault,R 12,GTS,145000
Audi,100 Serisi,1.6,130000
Volkswagen,Jetta,1.6 TDi,90000
Renault,R 12,TSW,149500
Mercedes - Benz,E,200,265000
Mercedes - Benz,E,200 d E 200 d,280000
Mercedes - Benz,280,SE,399000
Mercedes - Benz,E,200,265000
Tofaş,Murat,131,125000
Renault,R 12,TS,120000
Renault,R 9,1.4,140000
Mercedes - Benz,280,SE,390000
Mercedes - Benz,E,200,195000
Audi,100 Serisi,2.0,260000
Mercedes - Benz,230,E,550000
Renault,R 12,TX,129900
Renault,R 12,TX,155555
Renault,R 12,SW,135000
Renault,R 12,GTS,185000
Tofaş,Murat,131,215000
Renault,R 12,TSW,130000
Renault,R 12,GTS,140000
Renault,R 12,GTS,155000
Renault,R 12,TX,130000
Renault,R 12,GTS,165000
Renault,R 12,TSW,160000
Renault,R 12,SW,130000
Renault,R 12,TSW,145000
Renault,R 12,GTS,100000
Mercedes - Benz,190,2.0,175000
Opel,Ascona,1.6 D,75000
Renault,R 12,TSW,70000
Renault,R 12,TSW,90000
Mercedes - Benz,190,2.0,185000
Audi,100 Serisi,2.0 TD,135000
Renault,R 12,TSW,150000
Renault,R 12,SW,127500
Renault,R 12,TSW,142500
Tofaş,Murat,131,100000
Mercedes - Benz,230,E,820000
Tofaş,Doğan,L,100000
Mercedes - Benz,190,2.0,220000
Mercedes - Benz,E,200 d E 200 d,230000
Tofaş,Şahin,1.6,124999
Mercedes - Benz,300,D,325000
Tofaş,Murat,131,85000
Opel,Ascona,1.6 D,105000
Mercedes - Benz,190,2.0,349900
Renault,R 12,TX,150000
Mercedes - Benz,280,SE,280000
Mercedes - Benz,E,200,255000
Mercedes - Benz,190,190 D 2.0,375000
Volkswagen,Golf,1.6 D CL,180000
Renault,R 12,TX,125000
Mercedes - Benz,E,200 d E 200 d,200000
Mercedes - Benz,190,190 D 2.0,280000
Mercedes - Benz,190,2.0,305000
Mercedes - Benz,190,190 D 2.0,275000
Mercedes - Benz,E,200 d E 200 d,1250000
Mercedes - Benz,190,2.0,243000
Mercedes - Benz,230,E,300000
Renault,R 12,TS,149000
Tofaş,Doğan,L,105000
Opel,Ascona,1.8 C GLS,135000
Renault,R 9,1.4 Broadway,145000
Opel,Ascona,1.6 D,175000
Opel,Kadett,1.6,325000
Tofaş,Murat,131,110000
Tofaş,Murat,131,175000
Tofaş,Murat,131,135000
Renault,R 12,TX,190000
Renault,R 12,TSW,158000
Renault,R 12,TSW,160000
Renault,R 9,1.4 Broadway,120000
Renault,R 12,TSW,170000
Renault,R 12,SW,155000
Renault,R 12,TX,125000
Tofaş,Doğan,L,135000
Tofaş,Murat,131,181900
Tofaş,Murat,131,73000
Toyota,Corona,1.7 XL,390000
Tofaş,Murat,131,135000
Tofaş,Doğan,L,135000
Volkswagen,Golf,1.3,170000
Tofaş,Murat,131,115000
Volkswagen,Jetta,1.6 TDi,139500
Renault,R 12,TSW,135000
Renault,R 12,TX,155000
Renault,R 9,1.4 Broadway,118000
Mercedes - Benz,190,2.0,215000
Renault,R 9,1.4 Broadway,134750
Mercedes - Benz,230,E,365000
Mercedes - Benz,190,2.0,300000
Mercedes - Benz,230,E,320000
Fiat,126 Bis,126,160000
Tofaş,Şahin,1.6,105000
Renault,R 9,1.4 Broadway,150000
Renault,R 9,1.4 GTC,145000
Mercedes - Benz,190,190 D 2.0,335005
Mercedes - Benz,250,D,655000
Mercedes - Benz,260,SE,269500
Mercedes - Benz,E,200 d E 200 d,285000
Renault,R 9,1.4,138000
Mercedes - Benz,250,D,285000
Mercedes - Benz,190,2.0,220000
Mercedes - Benz,190,190 D 2.0,195000
Tofaş,Murat,131,97500
Mercedes - Benz,190,190 D 2.0,200000
Mercedes - Benz,190,190 D 2.0,300000
Renault,R 9,1.4 Broadway,145000
Mercedes - Benz,230,E,299999
Renault,R 9,1.4 Broadway,160000
Renault,R 9,1.4 Broadway,145000
Volkswagen,Golf,1.6 TD,195000
Renault,R 9,1.4 Broadway,158000
Mercedes - Benz,230,E,300000
Mercedes - Benz,190,2.0,275000
Mercedes - Benz,190,2.0,215000
Mercedes - Benz,E,200 d E 200 d,330000
Mercedes - Benz,E,200 d E 200 d,255000
Renault,R 9,1.4 Broadway,92000
Mercedes - Benz,250,D,350000
Mercedes - Benz,190,190 D 2.0,229500
Renault,R 9,1.4 Broadway,125000
Mercedes - Benz,E,200,310000
Renault,R 9,1.4 Broadway,100000
Renault,R 9,1.4 Broadway,130000
Mercedes - Benz,190,2.0,350000
Mercedes - Benz,230,E,255000
Renault,R 9,1.4 GTL,160000
Mercedes - Benz,250,D,230000
Tofaş,Murat,131,85000
Mercedes - Benz,190,190 D 2.0,290000
Mercedes - Benz,E,200 d E 200 d,315000
Mercedes - Benz,E,200 d E 200 d,350000
Volkswagen,Jetta,1.6 GL,180000
Mercedes - Benz,300,D,359999
Mercedes - Benz,190,2.0,218000
Renault,R 12,TX,135000
Renault,R 12,TSW,130000
Renault,R 12,TX,185000
Ford,Taunus,1.6 GL,115000
Tofaş,Murat,131,110000
Renault,R 9,1.4 Broadway,155000
Lada,VAZ,2107,180000
Tofaş,Murat,131,95000
Tofaş,Doğan,L,90000
Renault,R 12,SW,145000
Tofaş,Murat,131,100000
Ford,Taunus,1.6 GL,155000
Tofaş,Şahin,1.6,140000
Ford,Taunus,1.6 GL,93008
Renault,R 12,TX,150000
BMW,3 Serisi,316,1250000
Opel,Ascona,1.6 C GLS,137500
Ford,Taunus,1.6 S,175000
Renault,R 12,TSW,195000
Renault,R 9,1.4 Broadway,145000
Tofaş,Doğan,SLX,117000
Tofaş,Serçe,,159000
Ford,Taunus,1.6 GL,120000
Ford,Taunus,1.6 S,95000
Tofaş,Şahin,1.6,320000
Renault,R 12,TX,145000
Tofaş,Murat,131,110000
Tofaş,Doğan,SLX,90000
Renault,R 9,1.4 Broadway,115000
Ford,Taunus,1.6 S,100000
Tofaş,Murat,131,170000
Ford,Taunus,1.6 GL,130000
Tofaş,Şahin,1.6,116000
Tofaş,Doğan,L,122500
Renault,R 12,TSW,160000
Renault,R 12,TX,180000
Mercedes - Benz,250,D,325000
Mercedes - Benz,230,E,345000
Renault,R 9,1.4 Broadway,160000
Mercedes - Benz,230,E,265000
Mercedes - Benz,300,E,345000
Renault,R 9,1.4 Broadway,135000
Mercedes - Benz,E,200 d E 200 d,275000
Mercedes - Benz,300,E,370000
Mercedes - Benz,500,SEL,1290000
Tofaş,Murat,131,176500
Renault,R 12,TSW,118000
Ford,Taunus,1.6 GL,170000
Audi,80 Serisi,1.6 D,150000
Tofaş,Kartal,SL,95000
Renault,R 9,1.4 Broadway,105000
Mercedes - Benz,190,2.0,235000
Mercedes - Benz,230,E,220750
Mercedes - Benz,190,2.0,242000
Mercedes - Benz,300,D,220000
BMW,3 Serisi,316,390000
Mercedes - Benz,250,D,450000
Ford,Taunus,1.6 GL,105000
Toyota,Corolla,1.3 L,320000
Mercedes - Benz,E,200,350000
Mercedes - Benz,300,SEL,299000
Mercedes - Benz,250,D,435000
Audi,80 Serisi,1.6 D,155000
Mercedes - Benz,200,D,240000
Mercedes - Benz,190,190 D 2.0,355000
Mercedes - Benz,260,E,410000
Mercedes - Benz,250,D,385000
BMW,3 Serisi,316,165000
Audi,80 Serisi,1.6 D,150000
Renault,R 9,1.4 Broadway,145000
Renault,R 9,1.4 GTC,110000
Mercedes - Benz,E,200 d E 200 d,265000
Tofaş,Murat,131,100000
Mercedes - Benz,300,D,249000
Mercedes - Benz,300,SEL,420000
Mercedes - Benz,250,D,350000
Renault,R 9,1.4 Broadway,140000
Mercedes - Benz,E,200,405000
Mercedes - Benz,E,200,240000
Mercedes - Benz,250,D,300000
Mercedes - Benz,200,D,250000
Mercedes - Benz,E,300 D Exclusive,500000
Mercedes - Benz,260,E,349000
Mercedes - Benz,230,E,190000
Renault,R 12,TS,115000
Mercedes - Benz,190,2.0,230000
Mercedes - Benz,500,SEL,250000
Mercedes - Benz,E,200,305000
Mercedes - Benz,250,D,305000
Renault,R 9,1.4 Broadway,140000
Mercedes - Benz,300,SEL,305000
Volkswagen,Golf,1.6 TD,185000
Mercedes - Benz,230,E,299000
Mercedes - Benz,300,D,400000
Renault,R 12,TX,100000
Mercedes - Benz,300,E,299000
Mercedes - Benz,300,D,300000
Tofaş,Serçe,,177000
Mercedes - Benz,250,D,330000
Mercedes - Benz,250,D,299000
Mercedes - Benz,300,TD,355000
Mercedes - Benz,250,D,310000
Renault,R 9,1.4 GTC,147500
Renault,R 9,1.4 GTL,155000
Mercedes - Benz,300,E,345000
Mercedes - Benz,E,200 d E 200 d,199955
Ford,Taunus,1.6 GL,135000
Mercedes - Benz,E,200,215000
Tofaş,Murat,131,165000
Renault,R 9,1.4 Broadway,87500
Tofaş,Serçe,,116000
Renault,R 12,TSW,210000
Tofaş,Doğan,L,115000
Renault,R 12,TSW,112500
Renault,R 12,TSW,110000
Tofaş,Doğan,L,98000
Ford,Taunus,1.6 S,135000
Tofaş,Serçe,,240000
Ford,Taunus,1.6 S,110000
Renault,R 12,TX,162000
Tofaş,Şahin,1.6,145000
Tofaş,Murat,131,90000
Tofaş,Murat,131,170000
Tofaş,Şahin,1.6,210000
Renault,R 9,1.4 Broadway,130000
Tofaş,Murat,131,165000
Tofaş,Şahin,1.6,105000
Tofaş,Murat,131,115500
Ford,Taunus,1.6 S,120000
Renault,R 12,TS,155555
Tofaş,Doğan,L,85000
Tofaş,Doğan,L,107900
Tofaş,Doğan,L,93000
Renault,R 12,TX,135000
Tofaş,Şahin,1.6,135000
Renault,R 12,TX,182500
Tofaş,Şahin,1.6,98000
Tofaş,Murat,131,145000
Tofaş,Doğan,L,130000
Tofaş,Murat,131,130000
Tofaş,Şahin,1.6,54000
Renault,R 12,TSW,125000
Tofaş,Serçe,,23000
Renault,R 12,TSW,250000
Tofaş,Murat,131,230000
Tofaş,Doğan,L,187500
Tofaş,Murat,131,115000
Tofaş,Murat,131,250000
Renault,R 12,TSW,130000
Renault,R 12,TSW,65000
Ford,Taunus,1.6 S,65000
Renault,R 12,TX,45000
Renault,R 9,1.4 Broadway,135000
Tofaş,Murat,131,139000
Tofaş,Murat,131,101000
Tofaş,Doğan,S,95000
Renault,R 12,TSW,195000
Tofaş,Serçe,,105000
Tofaş,Serçe,,42000
Tofaş,Murat,131,170000
Tofaş,Şahin,1.6,125000
Tofaş,Serçe,,85000
Renault,R 9,1.4 GTC,155000
BMW,3 Serisi,325i Cabrio,2150000
Renault,R 9,1.4 Broadway,165000
Renault,R 9,1.4 Broadway,165000
Tofaş,Kartal,Kartal 5 Vites,115000
Renault,R 9,1.4 Broadway,130000
Renault,R 9,1.4 Broadway,158000
Tofaş,Kartal,Kartal 5 Vites,155000
Mercedes - Benz,190,2.0,265000
Renault,R 9,1.4 Broadway,150000
Renault,R 11,GTL,110000
Renault,R 9,1.4 Broadway,155000
BMW,7 Serisi,730i Standart,500000
Renault,R 9,1.4 Broadway,154000
Renault,R 9,1.4 Broadway,110000
Mercedes - Benz,190,190 D 2.0,230000
Mercedes - Benz,E,200,285000
Renault,R 9,1.6 Broadway,150000
Renault,R 9,1.4 Broadway,120000
Ford,Sierra,2.0 GL,50000
Mercedes - Benz,E,200 d E 200 d,360000
Renault,R 12,TSW,139500
Tofaş,Murat,131,110000
Renault,R 9,1.4 Broadway,108000
Renault,R 12,TSW,145000
Renault,R 9,1.4 Broadway,260000
Renault,R 12,TSW,165000
Renault,R 9,1.4 GTL,170000
Ford,Taunus,1.6 S,109000
Renault,R 12,TX,170000
Renault,R 9,1.4 Broadway,172000
Tofaş,Murat,131,70000
Renault,R 9,1.4 GTC,118000
Renault,R 9,1.4 Broadway,139000
Renault,R 9,1.4 Broadway,125000
Volkswagen,Golf,1.6 GL,245000
Audi,80 Serisi,1.6 D,110000
Renault,R 12,TX,65000
Renault,R 9,1.4 Broadway,130000
Renault,R 9,1.4 Broadway,160000
Mercedes - Benz,230,E,312500
Mercedes - Benz,200,CE,360000
Volkswagen,Passat,1.5 TSi Business,300000
Renault,R 9,1.4 Broadway,133000
Mercedes - Benz,250,D,270000
Tofaş,Doğan,L,82000
Mercedes - Benz,260,SE,375000
Mercedes - Benz,190,190 D 2.0,350000
Renault,R 9,1.4 Broadway,135000
Renault,R 11,GTD,149500
Renault,R 9,1.4 Broadway,135000
Renault,R 9,1.4 Broadway,145000
Renault,R 9,1.4 Broadway,135000
Mercedes - Benz,190,2.0,245000
Tofaş,Kartal,Kartal 5 Vites,85000
Mercedes - Benz,230,E,219000
Mercedes - Benz,E,200,275000
Renault,R 12,TSW,120000
Mercedes - Benz,190,190 D 2.0,160000
Ford,Taunus,2.0 GTS,110000
Mercedes - Benz,300,D,720000
Renault,R 9,1.4 GTL,130000
Tofaş,Doğan,L,140000
Renault,R 9,1.4 GTC,147000
Renault,R 9,1.4 GTC,137500
Mercedes - Benz,190,190 D 2.0,355000
Mercedes - Benz,E,200,205000
Mercedes - Benz,300,D,375000
Tofaş,Doğan,L,110000
Renault,R 12,TSW,152000
Mercedes - Benz,300,D,340000
Mercedes - Benz,250,D,295000
Renault,R 9,1.4 Broadway,140000
Tofaş,Doğan,L,40000
Renault,R 12,TX,185000
Ford,Fiesta,1.6 Festival,88500
Tofaş,Şahin,1.6,126000
Tofaş,Şahin,Şahin 5 Vites,69000
Mercedes - Benz,E,200,450000
Tofaş,Murat,131,155500
Moskvitch,Aleko,,220000
Renault,R 12,TX,195000
Renault,R 12,TX,280000
Renault,R 12,TX,180000
Ford,Taunus,2.0 GTS,150000
Renault,R 12,TX,155500
Renault,R 12,TSW,170000
Tofaş,Serçe,,120000
Renault,R 12,TX,132500
Tofaş,Doğan,L,130000
Renault,R 12,TX,195000
Tofaş,Şahin,1.4,95000
Ford,Taunus,2.0 GTS,130000
Tofaş,Şahin,Şahin 5 Vites,130000
Tofaş,Şahin,1.6,82000
Tofaş,Doğan,L,165000
Tofaş,Doğan,L,195000
Tofaş,Şahin,Şahin 5 Vites,120000
Tofaş,Şahin,1.6,269750
Ford,Taunus,2.0 GTS,60000
Tofaş,Şahin,1.6,114000
Renault,R 12,TSW,220000
Tofaş,Doğan,L,165000
Tofaş,Şahin,1.6,150000
Tofaş,Şahin,1.6,125000
Tofaş,Doğan,S,138000
Tofaş,Şahin,1.6,90000
Tofaş,Doğan,L,301000
Tofaş,Murat,131,179999
Renault,R 12,TSW,225000
Ford,Taunus,2.0 GTS,150000
Tofaş,Şahin,Şahin 5 Vites,115000
Renault,R 12,TX,230000
Mercedes - Benz,200,E,595000
Mercedes - Benz,230,CE,1950000
Tofaş,Murat,131,90000
Ford,Taunus,2.0 GTS,165000
Tofaş,Doğan,L,107500
Audi,80 Serisi,1.6 TD,185000
Tofaş,Doğan,L,108000
Renault,R 12,TSW,185000
Tofaş,Şahin,Şahin 5 Vites,128000
Renault,R 12,TSW,215000
Tofaş,Doğan,L,132500
Tofaş,Doğan,L,120000
Ford,Taunus,1.6 S,165000
Tofaş,Doğan,L,165000
Tofaş,Doğan,L,115000
Tofaş,Doğan,S,115000
Tofaş,Doğan,L,161500
Renault,R 12,TSW,139500
Renault,R 12,TSW,145000
Mercedes - Benz,190,190 D 2.0,280000
Tofaş,Doğan,L,135000
Ford,Taunus,2.0 GTS,185000
Ford,Taunus,1.6 GT,115000
Tofaş,Şahin,1.6,45000
Renault,R 12,TSW,175000
Honda,Legend,2.7,1300000
Renault,R 12,TSW,165000
Tofaş,Doğan,SLX,140000
Tofaş,Doğan,L,200000
Ford,Taunus,1.6 S,105000
Renault,R 11,TX,162000
Tofaş,Murat,131,190000
Tofaş,Şahin,1.6,130000
Tofaş,Doğan,L,160000
Tofaş,Doğan,L,133000
Ford,Taunus,1.6 GT,90000
Renault,R 9,1.4 Broadway,100000
Mercedes - Benz,230,E,350000
Renault,R 12,TX,198000
Renault,R 11,GTS,125000
Mercedes - Benz,500,SEL,1500000
Tofaş,Doğan,L,129000
Tofaş,Doğan,L,170000
Renault,R 12,TX,180000
Mercedes - Benz,250,D,330000
Fiat,126 Bis,126,130000
Mercedes - Benz,250,D,450000
Ford,Taunus,1.6 GT,130000
Tofaş,Doğan,L,105555
Volkswagen,Passat,1.6 CL,205000
Tofaş,Şahin,Şahin 5 Vites,100000
Renault,R 9,1.4,125000
Renault,R 9,1.6 GTD,170000
Tofaş,Doğan,L,90000
Tofaş,Doğan,L,110000
Tofaş,Kartal,Kartal 5 Vites,105000
Ford,Taunus,1.6 S,175000
Tofaş,Şahin,Şahin 5 Vites,130000
Mercedes - Benz,250,D,275000
Renault,R 12,TSW,240000
Tofaş,Doğan,S,110000
Renault,R 9,1.4 Broadway,167500
Renault,R 12,TSW,199500
Honda,Civic,1.5,300000
Mercedes - Benz,250,D,385000
Ford,Taunus,1.6 GT,90000
Tofaş,Murat,131,115000
Renault,R 11,GTL,170000
Renault,R 12,TSW,155000
Mercedes - Benz,200,E,172500
Tofaş,Doğan,L,99999
Tofaş,Şahin,Şahin 5 Vites,105000
Tofaş,Murat,131,90000
Renault,R 9,1.4 Broadway,137500
Mercedes - Benz,190,2.0,328999
Mercedes - Benz,230,E,399000
Renault,R 9,1.4 GTC,145000
BMW,3 Serisi,325i Standart,515000
Mercedes - Benz,300,TD,445000
Mercedes - Benz,300,D,500000
Tofaş,Şahin,Şahin 5 Vites,130000
Tofaş,Kartal,SL,79000
Renault,R 9,1.4 Broadway,158000
Tofaş,Serçe,,76750
Mercedes - Benz,230,E,315000
Renault,R 11,GTS,136750
Mercedes - Benz,300,TD,670000
Renault,R 9,1.4 Broadway,120000
Tofaş,Doğan,L,110000
Volkswagen,Passat Variant,1.8 CL,230000
Tofaş,Doğan,L,198000
Renault,R 11,GTS,130000
Renault,R 9,1.4,125000
Renault,R 9,1.4 Broadway,145000
Mercedes - Benz,250,D,415000
Mercedes - Benz,190,190 E 2.6,185000
Renault,R 9,1.4 GTC,146000
Tofaş,Kartal,Kartal 5 Vites,135000
Mercedes - Benz,500,SEL,425000
Renault,R 12,TX,172000
Mercedes - Benz,190,190 E 2.6,241000
Renault,R 9,1.4 GTC,115000
Volkswagen,Golf,1.6 GTD,270000
Mercedes - Benz,190,190 D 2.0,385000
Mercedes - Benz,300,TD,495000
Tofaş,Doğan,L,183000
Toyota,Corolla,1.6 GLi,400000
Opel,Ascona,1.6 LS,75000
Mercedes - Benz,260,SE,250000
Renault,R 12,TX,247000
Tofaş,Doğan,L,90000
Ford,Taunus,1.6 GT,167500
Renault,R 9,1.4 Broadway,177000
Renault,R 9,1.4,170000
Renault,R 12,TSW,160000
Tofaş,Doğan,L,85000
Mitsubishi,Galant,1.6 GL,183000
Mercedes - Benz,E,200 d E 200 d,288000
Renault,R 9,1.4 GT,105000
Tofaş,Murat,131,90000
Tofaş,Şahin,1.6,129750
Tofaş,Doğan,L,125000
Ford,Taunus,2.0 GTS,120000
Tofaş,Şahin,1.6,190000
Ford,Taunus,1.6 GT,140000
Tofaş,Doğan,L,120000
Tofaş,Doğan,L,115000
Tofaş,Şahin,1.6,85000
Tofaş,Doğan,L,125000
Renault,R 11,GTS,140000
Peugeot,305,1.9,130000
Tofaş,Doğan,L,180000
Ford,Taunus,1.6 GT,98999
Renault,R 12,Toros,160000
Tofaş,Doğan,L,159004
Tofaş,Doğan,L,137500
Ford,Taunus,1.6 GT,126500
Renault,R 11,GTS,105000
Renault,R 12,TSW,145000
Tofaş,Şahin,1.6,145000
Tofaş,Doğan,L,140000
Renault,R 12,Toros,132000
Renault,R 12,Toros,225000
Tofaş,Şahin,1.6,157500
Renault,R 12,Toros,137000
Renault,R 12,Toros,205000
Moskvitch,Aleko,,122500
Renault,R 12,Toros,130000
Tofaş,Serçe,,130000
Tofaş,Kartal,Kartal 5 Vites,130000
Tofaş,Şahin,1.6,137000
Ford,Taunus,1.6 S,135000
Renault,R 12,Toros,140000
Tofaş,Kartal,Kartal 5 Vites,150000
Tofaş,Kartal,Kartal 5 Vites,70000
Tofaş,Şahin,Şahin 5 Vites,142000
Tofaş,Doğan,L,145000
Renault,R 12,Toros,170000
Renault,R 12,TSW,160000
Renault,R 9,1.4 Broadway,125000
Tofaş,Serçe,,120000
Ford,Taunus,2.0 GTS,130000
Tofaş,Doğan,L,140000
Renault,R 9,1.4 Broadway GTE,225000
Tofaş,Kartal,Kartal 5 Vites,120000
Tofaş,Kartal,Kartal 5 Vites,90000
Renault,R 12,Toros,177500
Tofaş,Doğan,L,149500
Tofaş,Doğan,L,180000
Tofaş,Şahin,Şahin 5 Vites,110000
Tofaş,Serçe,,95000
Tofaş,Kartal,Kartal 5 Vites,95000
Tofaş,Şahin,1.6,116000
Tofaş,Doğan,L,159750
Tofaş,Doğan,L,247500
Moskvitch,Aleko,,125000
Tofaş,Doğan,L,185000
Tofaş,Kartal,Kartal 5 Vites,74750
Ford,Taunus,2.0 GTS,145000
Tofaş,Doğan,L,125000
Renault,R 12,Toros,189000
Renault,R 12,Toros,145000
Renault,R 12,TSW,215000
Tofaş,Şahin,Şahin 5 Vites,115000
Renault,R 12,TSW,195000
Renault,R 12,TSW,151000
Tofaş,Şahin,1.6,150000
Renault,R 12,Toros,146000
Tofaş,Serçe,,145000
Renault,R 11,TX,155000
Tofaş,Doğan,SL,105000
Renault,R 9,1.4 Broadway GTE,185000
Renault,R 11,GTS,140000
Mercedes - Benz,200,E,365000
Tofaş,Doğan,L,120000
Tofaş,Şahin,Şahin 5 Vites,130000
Tofaş,Doğan,L,132000
Renault,R 11,GTE,120000
Lada,VAZ,2107,200000
Ford,Taunus,1.6 S,140000
Tofaş,Şahin,Şahin 5 Vites,146000
